source,n,mean_mm,median_mm,std_mm,p5_mm,p95_mm,min_mm,max_mm
Input segmentation reference,4842,4.447,5.061,3.4,0.0,9.111,0.0,11.32
CardioSDF native KD metric,38172,4.774,4.923,1.025,2.841,6.316,0.878,7.501
