method,n,pearson_r,mae_mm,rmse_mm,bias_mm,loa_halfwidth_mm,icc_2_1
Yezzi-Prince,11200,0.7071758852467044,0.7267927850995745,1.3886502087387842,0.6929483660629817,2.3587696337311477,0.6381851572751501
SDF cone rays,11200,0.1749066716234576,2.040160548431533,5.971885648609998,2.012091840675899,11.021010048405518,0.0842498051662009
EDT boundary sum,11200,0.7399089696651371,0.605369433930942,1.2125772950432778,0.4669381446497781,2.193470571741028,0.69119236191561
