method,n,pearson_r,mae_mm,rmse_mm,bias_mm,loa_halfwidth_mm,icc_2_1
Yezzi-Prince,5600,0.9282404824218106,0.5633122758780207,0.9336852765523161,0.5283396318554878,1.5089852424514048,0.8966361663538823
SDF cone rays,5600,0.46540576589018673,1.1875838222248214,3.3708871030918375,1.1779737935321672,6.190944504570486,0.374232631268136
EDT boundary sum,5600,0.931512989772452,0.5048893088528088,0.8264465726757877,0.34283571647746225,1.4740172216219574,0.9172351153635776
